commit	short	bucket	subject	notes
8e157660462c893d38b729598543380ebba5af68	8e157660	zig-build-skip	Port leaf layout kernels to Zig	
789a1598086ab2e684a9d0c36537a39337ea6802	789a1598	zig-build-skip	Harden full-suite test stability	
e81515e177e6d3afca3e6768e554e984ba2496e7	e81515e1	zig-build-skip	build: harden release and Zig validation workflow	
b980e64936e80e70e95d244244791b3877842a26	b980e649	direct-dry-run	Adopt scoped SwiftLint configs and finish the cleanup pass	auto-candidate; still requires dry-run and ledger
8c5dcbfbbdbd05b08368f9f3402efcc0ae6c4f45	8c5dcbfb	direct-dry-run	Fix async scratchpad test harness	auto-candidate; still requires dry-run and ledger
46400e330f0dac7d9da0dbf9d61e6b9eef04cf9e	46400e33	direct-dry-run	test: stabilize async scratchpad reveal regression	auto-candidate; still requires dry-run and ledger
fe0e096bc55331220f5a94c8c6d9330cb560e016	fe0e096b	direct-dry-run	test: serialize scratchpad suite	auto-candidate; still requires dry-run and ledger
123b95efe708e7464bb19bd0ee205ef8b177083a	123b95ef	merge-release-doc-skip	release: v0.4.7	
e5e46c9a40416a6206819812c8894241520e84b3	e5e46c9a	zig-build-skip	Move Dwindle layout solving into Zig kernel	
51c9f8bc70aa085dac66712cec2ec65383c06a33	51c9f8bc	merge-release-doc-skip	Fix typo in README for 'Scratchpad'	
4bff8e0dc85f93bbd524b904d44be9154ae53440	4bff8e0d	merge-release-doc-skip	Merge pull request #205 from zwo-bot/patch-1	
6b39ba9e95006860ec0b5b855bb46c90fc251872	6b39ba9e	direct-dry-run	Fix cross-workspace hidden window reveals	
02e1b17c1a8318a09edd075d569877b49d65064b	02e1b17c	merge-release-doc-skip	release: v0.4.7.1	
c82c287ab96b1d5dc4af28e2fe58cf4bd3d057de	c82c287a	zig-build-skip	Move Niri bulk layout projection into Zig kernel	
d5385dcce6119e39e2cf26102e7668daa1d6a6b5	d5385dcc	zig-build-skip	Port reconcile state reducer to Zig	
16ee0c4489ebdb1e4d303d09ac0cbada6dfa0a3a	16ee0c44	swift-contextual	Stabilize border ownership reconciliation	
a739e7036d986cfab0e0a84db1c4a643c64d67d4	a739e703	swift-contextual	Unify spring animations around exact snappy config	
7b19fdadcf6b677cee9dd927b759e5b0e2bcfd7d	7b19fdad	swift-contextual	Polish Dwindle motion with spring animations	
de13d4ccdb0aa683c79fe2fb4badec96bf362a80	de13d4cc	direct-dry-run	Fix command hotkey capture on non-QWERTY keyboards	
349247c73bf3f5b1cd84fab5cde8baa25fdb7651	349247c7	direct-dry-run	Apply global Niri settings without restart	
8a48b368e79c2366da692e6a2d2517f81dd39026	8a48b368	direct-dry-run	Fix Emacs full-rescan eviction	
5475c44a32e899beacdd97d150af389dd7e2cbc1	5475c44a	direct-dry-run	Fix quake terminal focus restoration	
2a5202b5a51ac1923b39e0022a32517f9dce64e4	2a5202b5	zig-build-skip	Port overview projection kernel to Zig	
cdae2abcb0b6b2cc9569fe8e802dad8dcabf8c60	cdae2abc	zig-build-skip	Move window decision solve into Zig kernel	
4a531f48a010bf184d0ae09e1c29256236a9c786	4a531f48	merge-release-doc-skip	release: v0.4.7.2	
dbc973212d4173162555213fb3b7426583f7a30e	dbc97321	direct-dry-run	Preserve managed frames across native fullscreen restore	auto-candidate; still requires dry-run and ledger
399d74a8fdcbe9bca29ca106da98c2971914ab76	399d74a8	direct-dry-run	Refactor controller orchestration into explicit core	auto-candidate; still requires dry-run and ledger
bd328afbced7341eaff3928581277b93915f06dd	bd328afb	zig-build-skip	Move controller orchestration into the Zig kernel	
77bd548b509a3e0123baeb4329baff8133a870e8	77bd548b	direct-dry-run	Refactor native fullscreen restore helpers	auto-candidate; still requires dry-run and ledger
